Ad Set Name,Device Platform,Delivery Status,Delivery Level,Campaign Name,Result Type,Results,Reach,Impressions,Cost per Result,Amount Spent (USD),Frequency,Unique Link Clicks,Link Clicks,Reporting Starts,Reporting Ends
Ad Set for Ad A,mobile_app,recently_completed,adset,W241 Final project V2,Link Clicks,693,22272,28620,0.171904762,119.13,1.285021552,569,693,7/24/2020,8/1/2020
Ad Set for Ad C,mobile_app,recently_completed,adset,W241 Final project V2,Link Clicks,578,25600,31190,0.203512111,117.63,1.218359375,503,578,7/24/2020,8/1/2020
Ad Set for Ad D,mobile_app,recently_completed,adset,W241 Final project V2,Link Clicks,447,25888,29706,0.253199105,113.18,1.147481459,419,447,7/24/2020,8/1/2020
Ad Set for Ad B,mobile_app,recently_completed,adset,W241 Final project V2,Link Clicks,354,22032,26621,0.33480226,118.52,1.208287945,320,354,7/24/2020,8/1/2020
Ad Set for Ad D,desktop,recently_completed,adset,W241 Final project V2,Link Clicks,26,1856,2103,0.305,7.93,1.133081897,23,26,7/24/2020,8/1/2020
Ad Set for Ad A,mobile_web,recently_completed,adset,W241 Final project V2,Link Clicks,24,1072,1178,0.186666667,4.48,1.098880597,22,24,7/24/2020,8/1/2020
Ad Set for Ad C,desktop,recently_completed,adset,W241 Final project V2,Link Clicks,20,934,934,0.1925,3.85,1,16,20,7/24/2020,8/1/2020
Ad Set for Ad C,mobile_web,recently_completed,adset,W241 Final project V2,Link Clicks,17,696,869,0.207058824,3.52,1.248563218,15,17,7/24/2020,8/1/2020
Ad Set for Ad D,mobile_web,recently_completed,adset,W241 Final project V2,Link Clicks,16,1040,1113,0.2425,3.88,1.070192308,14,16,7/24/2020,8/1/2020
Ad Set for Ad B,mobile_web,recently_completed,adset,W241 Final project V2,Link Clicks,14,952,1084,0.312857143,4.38,1.138655462,10,14,7/24/2020,8/1/2020
Ad Set for Ad A,desktop,recently_completed,adset,W241 Final project V2,Link Clicks,9,272,303,0.152222222,1.37,1.113970588,9,9,7/24/2020,8/1/2020
Ad Set for Ad B,desktop,recently_completed,adset,W241 Final project V2,Link Clicks,3,512,591,0.696666667,2.09,1.154296875,3,3,7/24/2020,8/1/2020
